Ticker;Pre�o Cota (R$);Tipo;DY (%);Dividendo/Cota (R$);P/VP;Patrim. L��q (R$);N� de Cotas;Data
BTYU11;;Híbrido;31,6;150,5;97;455427000;30001000;10/08/2025
BVAR11;;Outros;11,6;6953,5;149;737748000;626540;10/08/2025
CARE11;;Híbrido;0;-0,5;16;374823000;35770919;10/08/2025
CBOP11;;Lajes Corporativas;8,6;9,5;34;142821450;1416000;10/08/2025
CEOC11;;Lajes Corporativas;26;551,5;58;198196500;1816696;10/08/2025
CFHI11;;Outros;26;533,5;93;49081500;95600;10/08/2025
CFII11;;Híbrido;34,6;1536,5;66;187966500;127319;10/08/2025
CJCT11;;Lajes Corporativas;6,4;193,5;84;343456500;3141000;10/08/2025
CNES11;;Lajes Corporativas;12,8;7,5;16;387685500;34135825;10/08/2025
CPLG11;;Logística;13,6;80,5;121;496107000;34346220;10/08/2025
CPOF11;;Híbrido;15,8;675,5;99;785236500;4773405;10/08/2025
CPSH11;;Shoppings;25,6;121,5;8;1400077500;79700818;10/08/2025
CPUR11;;Híbrido;19,6;94,5;107;897511500;62372135;10/08/2025
CTXT11;;Lajes Corporativas;0;-0,5;25;150436500;4660606;10/08/2025
CXAG11;;Outros;26;885,5;63;363235500;2091621;10/08/2025
CXCE11;;Lajes Corporativas;25,8;525,5;64;163050000;1713950;10/08/2025
CXCO11;;Lajes Corporativas;28,2;813,5;59;565474500;3925500;10/08/2025
CXTL11;;Logística;14,2;2035,5;71;32359500;54597;10/08/2025
DAMT11;;Shoppings;5,4;3,5;98;396577500;17780747;10/08/2025
DPRO11;;Híbrido;23,2;67,5;63;68670900;5004220;10/08/2025
EDFO11;;Lajes Corporativas;24,6;1551,5;59;74496000;237000;10/08/2025
EDGA11;;Lajes Corporativas;11,4;82,5;31;266668500;3813055;10/08/2025
ERPA11;;Lajes Corporativas;16,6;1053,5;79;119842350;501922;10/08/2025
EURO11;;Logística;19,8;2306,5;7;189964500;384936;10/08/2025
FAED11;;Outros;26,8;1950,5;65;230596500;693377;10/08/2025
FATN11;;Híbrido;17,4;614,5;83;681598500;4612767;10/08/2025
FCFL11;;Outros;16,4;1041,5;101;642060000;3475010;10/08/2025
FIGS11;;Shoppings;22,4;533,5;62;326023500;2851000;10/08/2025
FIIB11;;Híbrido;19,4;4552,5;106;488566500;686000;10/08/2025
FIIP11;;Híbrido;22,4;1687,5;75;278565000;928162;10/08/2025
FISC11;;Lajes Corporativas;15,6;587,5;66;291171000;1700996;10/08/2025
FLMA11;;Híbrido;18,6;1267,5;61;456952500;1381670;10/08/2025
FLRP11;;Shoppings;17,6;174,5;99;225511500;7401000;10/08/2025
FMOF11;;Lajes Corporativas;10;364,5;62;88387350;509008;10/08/2025
FPAB11;;Lajes Corporativas;14,6;1516,5;58;399045000;751000;10/08/2025
FPNG11;;Lajes Corporativas;2,4;425,5;198;953092500;3044447;10/08/2025
FTCE11;;Híbrido;7,6;10346,5;10;5413230000;1270016;10/08/2025
FVPQ11;;Shoppings;17,8;632,5;4;732666000;2801149;10/08/2025
FZDA11;;Outros;6,2;410,5;72;421629000;1551000;10/08/2025
FZDB11;;Outros;6;420,5;76;964321500;3601000;10/08/2025
GARE11;;Híbrido;22,6;98,5;101;1988925000;147459223;10/08/2025
GCOI11;;Híbrido;0;-0,5;102;16366200;114000;10/08/2025
GCRI11;;Títulos e Val. Mob.;32,8;103,5;69;197026500;1454859;10/08/2025
GGRC11;;Logística;24,6;9,5;86;2557815000;152456666;10/08/2025
GLOG11;;Logística;16,8;536,5;59;122218800;751000;10/08/2025
GTWR11;;Lajes Corporativas;25,8;994,5;76;1796040000;12001000;10/08/2025
GZIT11;;Híbrido;42,2;935,5;48;2984865000;21842231;10/08/2025
HAAA11;;Lajes Corporativas;6,6;161,5;73;344566500;3456000;10/08/2025
HBCR11;;Lajes Corporativas;24,2;1610,5;105;298497000;1601000;10/08/2025
HCRI11;;Hospital;24,6;3201,5;79;97801050;201000;10/08/2025
HGBL11;;Logística;28,2;85,5;89;360711000;25136505;10/08/2025
HGBS11;;Shoppings;20,2;18,5;87;4185435000;129134010;10/08/2025
HGIC11;;Títulos e Val. Mob.;30,6;1048,5;61;76981500;463706;10/08/2025
HGLG11;;Logística;17,2;131,5;93;8247870000;33788575;10/08/2025
HGPO11;;Lajes Corporativas;35,6;51,5;97;368934000;1754057;10/08/2025
HGRE11;;Lajes Corporativas;20,6;1154,5;71;2760810000;11818767;10/08/2025
HGRU11;;Híbrido;20;1204,5;96;4452885000;23239024;10/08/2025
HILG11;;Outros;18;1723,5;91;161428500;527254;10/08/2025
HLOG11;;Logística;15,8;65,5;75;704001000;42501000;10/08/2025
HOFC11;;Lajes Corporativas;0;-0,5;44;371446500;3780001;10/08/2025
HOSI11;;Híbrido;17,8;758,5;93;78371850;574450;10/08/2025
HPDP11;;Shoppings;14,6;65,5;97;457012500;3289000;10/08/2025
HSLG11;;Logística;20,6;825,5;72;2095050000;12661067;10/08/2025
HSML11;;Shoppings;21,2;855,5;76;3273960000;20809572;10/08/2025
HSRE11;;Híbrido;22,4;1105,5;109;1197409500;8899724;10/08/2025
HTMX11;;Hotel;30,4;1745,5;96;627909000;2889094;10/08/2025
HUCG11;;Hospital;1;52,5;101;174285000;1123000;10/08/2025
HUSC11;;Outros;21,6;105,5;65;189712500;851821;10/08/2025
HUSI11;;Hospital;16,4;10203,5;10;217677000;117362;10/08/2025
HYPI11;;Híbrido;1;95,5;145;244863000;1307304;10/08/2025
IBBP11;;Outros;13,6;56,5;93;593535000;30529842;10/08/2025
INLG11;;Logística;25;923,5;73;678001500;4513103;10/08/2025
INRD11;;Residencial;21;730,5;58;201223500;1131706;10/08/2025
IRIM11;;Híbrido;30,2;1008,5;76;249030000;1921000;10/08/2025
JASC11;;Híbrido;15,2;758,5;87;592465500;3490342;10/08/2025
JFLL11;;Residencial;19,2;652,5;63;240549000;1501598;10/08/2025
JPPC11;;Híbrido;12,6;7505,5;92;10226550;56000;10/08/2025
JSRE11;;Híbrido;18,2;575,5;62;3175560000;20768328;10/08/2025
KEVE11;;Residencial;47,6;11576,5;148;126986700;148701;10/08/2025
KNHF11;;Híbrido;24,6;1114,5;9;2944035000;19664235;10/08/2025
KNIP11;;Títulos e Val. Mob.;25;1094,5;94;11072655000;80079186;10/08/2025
KNRE11;;Residencial;3,4;-0,5;39;18615750;18548161;10/08/2025
KNRI11;;Híbrido;17,4;119,5;84;6897225000;28205047;10/08/2025
KORE11;;Títulos e Val. Mob.;42,2;149,5;66;1529355000;9626000;10/08/2025
LAFI11;;Híbrido;22,8;1084,5;102;131545350;772287;10/08/2025
LASC11;;Shoppings;37,8;125,5;69;595554000;2941298;10/08/2025
LFTT11;;Outros;0;-0,5;46;67722300;3266000;10/08/2025
LIFE11;;Outros;35;136,5;86;565417500;37902307;10/08/2025
LRDI11;;Híbrido;0;-0,5;97;46208550;371244;10/08/2025
LVBI11;;Logística;18,6;962,5;87;2844360000;16119565;10/08/2025
MALL11;;Híbrido;17,8;870,5;83;2542305000;13983093;10/08/2025
MAXR11;;Híbrido;55;1266,5;63;173634000;1126655;10/08/2025
MCLO11;;Híbrido;12;63,5;77;2577885000;124643860;10/08/2025
MCRE11;;Títulos e Val. Mob.;28,8;125,5;83;1711350000;111599921;10/08/2025
MFII11;;Híbrido;33,4;1243,5;77;928501500;5963395;10/08/2025
MGHT11;;Híbrido;0;-0,5;61;53724300;1314784;10/08/2025
MXRF11;;Híbrido;23,6;113,5;10;6222030000;437326297;10/08/2025
NEWL11;;Híbrido;22;113,5;8;540709500;2818412;10/08/2025
NEWU11;;Híbrido;2,2;101,5;122;86572050;743000;10/08/2025
NSLU11;;Hospital;21,2;1877,5;83;407590500;1294286;10/08/2025
NVHO11;;Hospital;17,4;102,5;71;1033674000;41495533;10/08/2025
OBAL11;;Residencial;56,6;3804,5;95;243832500;142279;10/08/2025
OULG11;;Logística;5,4;102,5;6;229513500;2482284;10/08/2025
PATC11;;Lajes Corporativas;8,2;158,5;94;214975500;3478434;10/08/2025
PATL11;;Logística;24,2;696,5;59;723141000;4992535;10/08/2025
PLAG11;;Outros;22;535,5;8;486699000;5222839;10/08/2025
PMLL11;;Híbrido;20;956,5;8;2542305000;13983093;10/08/2025
PNPR11;;Híbrido;0;-0,5;134;49195800;898816;10/08/2025
PNRC11;;Híbrido;15,2;67,5;143;25797900;411100;10/08/2025
PQAG11;;Logística;20,2;557,5;99;1162918500;13992890;10/08/2025
PQDP11;;Shoppings;19,2;23530,5;73;504808500;101561;10/08/2025
PRSV11;;Lajes Corporativas;0;-0,5;23;48485100;227766;10/08/2025
PVBI11;;Lajes Corporativas;17;63,5;69;4390320000;27131067;10/08/2025
QAGR11;;Outros;25,8;52,5;68;457516500;5041000;10/08/2025
RBCO11;;Lajes Corporativas;16,8;371,5;49;506214000;3780001;10/08/2025
RBDS11;;Residencial;0;-0,5;11;3513330;127523;10/08/2025
RBIR11;;Residencial;16;696,5;89;229353000;1529615;10/08/2025
RBLG11;;Logística;41,4;785,5;57;63637500;641199;10/08/2025
RBOP11;;Outros;12;126,5;31;104363550;102664;10/08/2025
RBRL11;;Logística;21,8;902,5;78;1051578000;6688035;10/08/2025
